@Created by Jarkao (GamingOnSteroids)
#version 20180211
#bulid from metasrc
Aatrox		,	Top			wqeeerewewrwwqqrqq
Aatrox		,	Jungle		wqewwrwewereeqqrqq
Ahri		,	Mid			qewqqrqwqwrwweeree
Akali		,	Top			qweqqrqeqereewwrww
Akali		,	Mid			qweqqrqeqereewwrww
Alistar		,	Support		qweqqrqwqwrwweeree
Amumu		,	Jungle		weqeereqeqrqqwwrww
Anivia		,	Mid			qeewereqeqrqqwwrww
Annie		,	Mid			qweqqrqwqwrwweeree
Annie		,	Support		qweqqrqwqwrwweeree
Ashe		,	ADC			wqwewrwqwqrqqeeree
AurelionSol	,	Mid			wqewwrwqwqrqqeeree
Azir		,	Mid			wqeqqrqwqwrwweeree
Bard		,	Support		qweqqrqwqwrwweeree
Blitzcrank	,	Support		qewqqrqeqereewwrww
Brand		,	Support		wqewwrwqwqrqqeeree
Brand		,	Mid			wqewwrwqwqrqqeeree
Braum		,	Support		qewqqrqeqereewwrww
Caitlyn		,	ADC			qeewqrqwqwrwweereq
Camille		,	Top			weqqqrqeqereewwrww
Camille		,	Jungle		qeweereqeqrqqwwrww
Cassiopeia	,	Mid			eqweereqeqrqqwwrww
Chogath		,	Top			eweqerewewrwqqqrqe
Chogath		,	Jungle		eqweereqewrwwwqrqq
Chogath		,	Mid			qwweqrqwqwrwqeeree
Corki		,	Mid			qewqqrqeqereewwrww
Corki		,	ADC			qewqqrqeqereewwrww
Darius		,	Top			qeewqrqeqerewwwrwq
Diana		,	Mid			qweqqrqwqwrwweeree
Diana		,	Jungle		wqeqqrqwqwrwweeree
DrMundo		,	Top			qewqqrqeqereewwrww
DrMundo		,	Jungle		qewqqrqeqereewwrww
Draven		,	ADC			qweqqrqwqwrwweeree
Ekko		,	Mid			qewqqrqeqereewwrww
Ekko		,	Jungle		wqeqqrqeqereewwrww
Elise		,	Jungle		wqeqqrqwqwrwweeree
Evelynn		,	Jungle		qweqqrqwqwrwweeree
Ezreal		,	ADC			qeqwqrqeqereewwwwr
FiddleSticks,	Mid			ewqeereweqrwwqqrqw
FiddleSticks,	Support		eqweereqeqrqqwwrww
FiddleSticks,	Jungle		weqwwrwqwqrqqeeree
Fiora		,	Top			qweqqrqeqereewwrww
Fizz		,	Mid			ewqeerewewrwwqqrqq
Galio		,	Mid			qewqqrqwqwrwweeree
Galio		,	Top			qewqqrqwqwrwweeree
Galio		,	Support		qewqqrqeqwrweeerww
Gangplank	,	Top			qewqqrqeqereewwrww
Gangplank	,	Mid			qewqqrqeqereewwrww
Garen		,	Top			qeweereqeqrqqwwrww
Gnar		,	Top			qweqqrqwqwrwweeree
Gragas		,	Top			qewqqrqeqereewwrww
Gragas		,	Mid			qewqqrqeqereewwrww
Gragas		,	Jungle		qweqqrqeqereewwrww
Graves		,	Jungle		eqwqqrqeqereewwrww
Hecarim		,	Jungle		qweqqrqeqereewwrww
Heimerdinger,	Mid			qewqqrqwqwrwweeree
Heimerdinger,	Top			qewqqrqwqwrwweeree
Illaoi		,	Top			qeewereqeqrqqwwrww
Irelia		,	Top			qewwwrwqwqrqqeeree
Ivern		,	Jungle		qeweereqeqrqqwwrww
Janna		,	Support		eeqwerewewrwwqqrqq
JarvanIV	,	Jungle		eqwqqrqeqereewwrww
JarvanIV	,	Top			qewqqrqeqereewwrww
Jax			,	Jungle		ewqwwrwqwqrqqeeree
Jax			,	Top			eqwwwrwqwqrqqeeree
Jayce		,	Top			qewqqwqwqwqwweeeee
Jayce		,	Mid			qewqqwqwqwqwweeeee
